100;19;26
105;16;25
110;17;26
115;17;27
120;18;28
126;20;30
132;20;32
138;20;33
144;21;34
151;22;35
158;22;37
165;23;39
173;24;41
181;25;43
190;26;45
199;27;47
208;28;49
218;29;51
228;31;54
239;32;56
250;33;59
262;35;61
275;36;65
288;38;67
302;39;71
317;41;74
332;43;78
348;45;82
365;47;85
383;49;89
402;51;94
422;53;99
443;60;111
465;64;117
488;62;115
512;65;125
537;67;128
563;71;133
591;73;140
620;77;145
651;85;152
683;85;161
717;88;170
752;95;176
789;98;185
828;101;194
869;105;205
912;111;213
957;116;224
1004;121;235
1054;127;246
1106;139;259
1161;140;272
1219;147;288
1279;153;299
1342;161;314
1409;169;330
1479;177;346
1552;185;367
1629;194;381
1710;206;402
1795;214;420
1884;224;440
1978;235;468
2076;247;486
2179;259;509
2287;271;535
2401;285;562
2521;299;592
2647;313;618
2779;329;649
2917;345;682
3062;362;716
3215;380;752
3375;398;793
3543;419;828
3720;438;868
3906;460;913
4101;484;963
4306;508;1007
4521;534;1059
4747;559;1115
4984;587;1165
5233;616;1224
5494;648;1284
5768;678;1348
6056;711;1420
6358;757;1490
6675;785;1560
7008;823;1637
7358;864;1719
7725;913;1816
8111;952;1942
8516;381;8073
8941;420;8396
9388;4497;8808
9857;4607;9286
10349;4892;9814
10866;5109;10285
11409;5316;10774
11979;5608;11213
12577;5981;11797
13205;6204;12320
13865;6578;13001
14558;6814;13684
15285;7202;14312
16049;7589;15096
16851;7911;15889
17693;8309;16608
18577;8784;17403
19505;9193;18301
20480;9607;19200
21504;10105;20199
22579;10683;21199
23707;11117;22384
24892;11709;23409
26136;12380;24604
